flye,hybridspades,metaflye_nextpolish,metamdbg,metamdbg_nextpolish,myloasm,myloasm_nextpolish,opera_ms
Bifidobacterium adolescentis,CAG-302 sp934162325,CAG-302 sp934162325,Ruminococcus_C callidus,Eubacterium_F sp003491505,Faecalibacillus faecis,Jutongia sp003524945,Ruminococcus_C callidus
Bacteroides thetaiotaomicron,Lachnospira sp000436475,Hominiventricola filiformis,Fimenecus sp000432435,Jutongia sp003524945,Collinsella sp003466125,CAG-492 sp000434335,Fimenecus sp000432435
Phascolarctobacterium_A succinatutens_B,Hominicoprocola fusiformis,Lachnospira sp000436475,RGIG3102 sp934526065,CAG-492 sp000434335,Acidaminococcus massiliensis,CAG-302 sp934162325,RGIG3102 sp934526065
Parabacteroides distasonis,Choladousia sp902363135,Hominicoprocola fusiformis,Collinsella sp027669365,CAG-302 sp934162325,Hominisplanchenecus faecis,UMGS1071 sp900542375,Collinsella sp027669365
Laedolimicola intestinihominis,Vescimonas coprocola,Choladousia sp902363135,Coprobacillus cateniformis,UMGS1071 sp900542375,Oliverpabstia faecicola,Hominicoprocola fusiformis,Parasutterella gallistercoris
Blautia_A obeum,Prevotella sp900548745,Vescimonas coprocola,Parasutterella gallistercoris,Hominiventricola filiformis,Ruminococcus_C sp000433635,Lachnospira sp000436475,Choladousia sp902363665
Hominenteromicrobium mulieris,Klebsiella pneumoniae,Prevotella sp900548745,CAG-302 sp900543825,Hominicoprocola fusiformis,Maccoya intestinihominis,Choladousia sp902363135,CAG-302 sp900543825
Mediterraneibacter faecis,Roseburia inulinivorans,Klebsiella pneumoniae,Muricoprocola shaoxingensis,Phocaeicola dorei,Desulfovibrio sp900319575,Vescimonas coprocola,Blautia_A intestinihominis
Agathobaculum butyriciproducens,Pararoseburia lenta,Roseburia inulinivorans,Blautia_A intestinihominis,Choladousia sp902363135,Paraprevotella clara,Roseburia inulinivorans,Faecalibacterium prausnitzii_E
Dialister sp000434475,Pilosibacter fragilis,Pararoseburia lenta,Faecalibacterium prausnitzii_E,Lachnospira sp000436475,Streptococcus infantarius,Pararoseburia lenta,Faecalibacillus intestinalis
Mailhella sp944324615,CAG-170 sp002404795,Enterocloster sp001517625,Faecalibacillus intestinalis,Vescimonas coprocola,Anaerotignum_A faecicola,Enterocloster sp001517625,Enterocloster sp000431375
Bilophila wadsworthia,CAG-103 sp900543625,Pilosibacter fragilis,Enterocloster sp000431375,Prevotella sp900548745,Evtepia gabavorous,Pilosibacter fragilis,Bifidobacterium adolescentis
Anthropogastromicrobium aceti,Ruminococcus_C callidus,CAG-170 sp937967235,Phascolarctobacterium_A succinatutens_B,Klebsiella pneumoniae,Lachnospira hominis,CAG-170 sp937967235,Phascolarctobacterium_A succinatutens_B
Collinsella sp003466125,Fimenecus sp000432435,Oscillibacter welbionis,Bifidobacterium adolescentis,Roseburia inulinivorans,Faecousia intestinalis,Oscillibacter welbionis,Parabacteroides distasonis
Acidaminococcus massiliensis,Collinsella sp027669365,Blautia_A sp005848555,Parabacteroides distasonis,Pararoseburia lenta,Lachnospira sp900551945,CAG-103 sp900543625,Laedolimicola intestinihominis
Streptococcus hominis,Coprobacillus cateniformis,CAG-103 sp900543625,Laedolimicola intestinihominis,Pilosibacter fragilis,Sellimonas intestinalis,Ruminococcus_C callidus,Blautia_A obeum
Ruminococcus_C sp000433635,Parasutterella gallistercoris,Ruminococcus_C callidus,Blautia_A obeum,Oscillibacter welbionis,Dialister hominis,Fimenecus sp000432435,Hominenteromicrobium mulieris
Oliverpabstia faecicola,Choladousia sp902363665,Clostridium saudiense,Hominenteromicrobium mulieris,Blautia_A sp005848555,Vescimonas sp003487665,RGIG3102 sp934526065,Mediterraneibacter faecis
Hominicoprocola sp934835795,CAG-302 sp900543825,Fimenecus sp000432435,Mediterraneibacter faecis,CAG-170 sp002404795,Bacteroides uniformis,Collinsella sp027669365,UBA10677 sp003533505
Maccoya intestinihominis,Muricoprocola shaoxingensis,RGIG3102 sp934526065,UBA10677 sp003533505,CAG-103 sp900543625,CAG-170 sp900553545,Coprobacillus cateniformis,Agathobaculum butyriciproducens
Desulfovibrio sp900319575,Blautia_A intestinihominis,Collinsella sp027669365,Agathobaculum butyriciproducens,Ruminococcus_C callidus,Odoribacter splanchnicus,Parasutterella gallistercoris,Brotaphodocola sp003480315
Streptococcus infantarius,Faecalibacterium prausnitzii_E,Coprobacillus cateniformis,Dialister sp000434475,Fimenecus sp000432435,Faecalibacterium taiwanense,Choladousia sp902363665,Bilophila wadsworthia
Eubacterium_G segne,Anaerobutyricum hallii,Parasutterella gallistercoris,Brotaphodocola sp003480315,RGIG3102 sp934526065,Eubacterium_U album,CAG-302 sp900543825,Anthropogastromicrobium aceti
Paraprevotella clara,Faecalibacillus intestinalis,Choladousia sp902363665,Bilophila wadsworthia,Collinsella sp027669365,Acetatifactor acetigignens,Slackia sp900555495,Collinsella sp003466125
Anaerotignum_A faecicola,Enterocloster sp000431375,Slackia sp900555495,Anthropogastromicrobium aceti,Coprobacillus cateniformis,CAG-269 sp900551615,Blautia_A intestinihominis,Acidaminococcus massiliensis
Evtepia gabavorous,Phascolarctobacterium_A succinatutens_B,Muricoprocola shaoxingensis,Faecalibacillus faecis,Parasutterella gallistercoris,Prevotella sp000434975,Faecalibacterium prausnitzii_E,Streptococcus hominis
Lachnospira hominis,Bifidobacterium adolescentis,CAG-302 sp900543825,Collinsella sp003466125,Choladousia sp902363665,Claveliimonas ammoniilytica,Anaerobutyricum hallii,Hominisplanchenecus faecis
Schaedlerella hominis,Parabacteroides distasonis,Anaerobutyricum hallii,Acidaminococcus massiliensis,CAG-302 sp900543825,Gemmiger formicilis,Faecalibacillus intestinalis,Oliverpabstia faecicola
Faecousia intestinalis,Laedolimicola intestinihominis,Faecalibacillus intestinalis,Streptococcus hominis,Muricoprocola shaoxingensis,Blautia_A faecis,Enterocloster sp000431375,Hominicoprocola sp934835795
Neoanaerotignum_A sp934256695,Blautia_A obeum,Enterocloster sp000431375,Hominisplanchenecus faecis,Blautia_A intestinihominis,Hominicoprocola sp900317525,Phascolarctobacterium_A succinatutens_B,Maccoya intestinihominis
Lachnospira sp900551945,Hominenteromicrobium mulieris,Bacteroides thetaiotaomicron,Oliverpabstia faecicola,Faecalibacterium prausnitzii_E,Lawsonibacter sp900549405,Bifidobacterium adolescentis,Desulfovibrio sp900319575
Dialister hominis,Mediterraneibacter faecis,Bifidobacterium adolescentis,Hominicoprocola sp934835795,Faecalibacillus intestinalis,Gemmiger qucibialis,Parabacteroides distasonis,Ruminococcus_C sp000433635
Blautia_A intestinalis,UBA10677 sp003533505,Phascolarctobacterium_A succinatutens_B,Maccoya intestinihominis,Enterocloster sp000431375,Limisoma sp000437795,Laedolimicola intestinihominis,Paraprevotella clara
Bacteroides uniformis,Agathobaculum butyriciproducens,Parabacteroides distasonis,Desulfovibrio sp900319575,Phascolarctobacterium_A succinatutens_B,Alistipes communis,Mediterraneibacter faecis,Eubacterium_G segne
CAG-170 sp900553545,Dialister sp000434475,Laedolimicola intestinihominis,Bacteroides hominis,Bifidobacterium adolescentis,Dorea_A amylophila,Hominenteromicrobium mulieris,Streptococcus infantarius
Odoribacter splanchnicus,Brotaphodocola sp003480315,Blautia_A obeum,Paraprevotella clara,Bacteroides thetaiotaomicron,Streptococcus ilei,UBA10677 sp003533505,Anaerotignum_A faecicola
Eubacterium_U album,Bilophila wadsworthia,Hominenteromicrobium mulieris,Streptococcus infantarius,Parabacteroides distasonis,Faecalitalea cylindroides,Agathobaculum butyriciproducens,Evtepia gabavorous
CAG-303 sp000437755,Anthropogastromicrobium aceti,Mediterraneibacter faecis,Ruminococcus_C sp000433635,Laedolimicola intestinihominis,CAG-177 sp003514385,Dialister sp000434475,Lachnospira hominis
Acetatifactor acetigignens,Collinsella sp003466125,UBA10677 sp003533505,Anaerotignum_A faecicola,Blautia_A obeum,Megamonas funiformis,Fusobacterium_A varium,Faecousia intestinalis
Prevotella sp900313215,Acidaminococcus massiliensis,Agathobaculum butyriciproducens,Evtepia gabavorous,Hominenteromicrobium mulieris,Agathobacter faecis,Dorea_A sp019421265,Lachnospira sp900551945
Prevotella sp000434975,Streptococcus hominis,Dialister sp000434475,Lachnospira hominis,Mediterraneibacter faecis,Oscillibacter segnis,Brotaphodocola sp003480315,Vescimonas sp003539495
Claveliimonas ammoniilytica,Hominisplanchenecus faecis,Brotaphodocola sp003480315,Schaedlerella hominis,UBA10677 sp003533505,Eubacterium_G sp000435815,Mailhella sp944324615,CAG-103 sp000432375
Gemmiger formicilis,Oliverpabstia faecicola,Mailhella sp944324615,Faecousia intestinalis,Agathobaculum butyriciproducens,Jutongia huaianensis,Bilophila wadsworthia,Dialister hominis
Hominicoprocola sp900317525,Hominicoprocola sp934835795,Bilophila wadsworthia,Neoanaerotignum_A sp934256695,Dialister sp000434475,,Anthropogastromicrobium aceti,Blautia_A intestinalis
Blautia_A faecis,Maccoya intestinihominis,Anthropogastromicrobium aceti,Lachnospira sp900551945,Brotaphodocola sp003480315,,Collinsella sp003466125,Bacteroides uniformis
Lawsonibacter sp900549405,Desulfovibrio sp900319575,Collinsella sp003466125,Dialister hominis,Mailhella sp944324615,,Acidaminococcus massiliensis,Odoribacter splanchnicus
Bacteroides stercoris,Bacteroides hominis,Acidaminococcus massiliensis,Vescimonas sp003487665,Bilophila wadsworthia,,Hominisplanchenecus faecis,Faecalibacterium taiwanense
Gemmiger qucibialis,Paraprevotella clara,Streptococcus hominis,Bacteroides uniformis,Anthropogastromicrobium aceti,,Oliverpabstia faecicola,Eubacterium_U album
Limisoma sp000437795,Streptococcus infantarius,Hominisplanchenecus faecis,Odoribacter splanchnicus,Faecalibacillus faecis,,Ruminococcus_C sp000433635,CAG-303 sp000437755
Alistipes communis,Eubacterium_G segne,Oliverpabstia faecicola,Faecalibacterium taiwanense,Collinsella sp003466125,,Maccoya intestinihominis,Acetatifactor acetigignens
Dorea_A amylophila,Anaerotignum_A faecicola,Hominicoprocola sp934835795,Eubacterium_U album,Acidaminococcus massiliensis,,Desulfovibrio sp900319575,Prevotella sp900313215
Faecalitalea cylindroides,Evtepia gabavorous,Maccoya intestinihominis,CAG-303 sp000437755,Streptococcus hominis,,Bacteroides hominis,Prevotella sp000434975
CAG-177 sp003514385,Lachnospira hominis,Desulfovibrio sp900319575,Acetatifactor acetigignens,Hominisplanchenecus faecis,,Paraprevotella clara,Claveliimonas ammoniilytica
Megamonas funiformis,Schaedlerella hominis,Bacteroides hominis,Prevotella sp900313215,Oliverpabstia faecicola,,Anaerotignum_A faecicola,Gemmiger formicilis
Phocaeicola massiliensis,Faecousia intestinalis,Eubacterium_G segne,Weissella cibaria,Hominicoprocola sp934835795,,Evtepia gabavorous,Blautia_A faecis
Agathobacter faecis,Neoanaerotignum_A sp934256695,Streptococcus infantarius,Prevotella sp000434975,Maccoya intestinihominis,,Lachnospira hominis,Lawsonibacter sp900549405
Oscillibacter segnis,Lachnospira sp900551945,Paraprevotella clara,Claveliimonas ammoniilytica,Desulfovibrio sp900319575,,Faecousia intestinalis,Bacteroides stercoris
Eubacterium_G sp000435815,Sellimonas intestinalis,Anaerotignum_A faecicola,Gemmiger formicilis,Bacteroides hominis,,Neoanaerotignum_A sp934256695,Gemmiger qucibialis
Romboutsia timonensis,Vescimonas sp003539495,Evtepia gabavorous,Blautia_A faecis,Paraprevotella clara,,Lachnospira sp900551945,Limisoma sp000437795
,CAG-103 sp000432375,Lachnospira hominis,Hominicoprocola sp900317525,Eubacterium_G segne,,CAG-170 sp900545925,Dorea_A amylophila
,Dialister hominis,Schaedlerella hominis,Lawsonibacter sp900549405,Streptococcus infantarius,,Sellimonas intestinalis,CAG-177 sp003514385
,Blautia_A intestinalis,Faecousia intestinalis,Bacteroides stercoris,Anaerotignum_A faecicola,,Vescimonas sp003539495,Phocaeicola massiliensis
,Vescimonas sp003487665,Neoanaerotignum_A sp934256695,Gemmiger qucibialis,Evtepia gabavorous,,Dialister hominis,Streptococcus salivarius_D
,Bacteroides uniformis,Lachnospira sp900551945,Limisoma sp000437795,Lachnospira hominis,,Vescimonas sp003487665,Megamonas funiformis
,CAG-170 sp900553545,Sellimonas intestinalis,Alistipes communis,Schaedlerella hominis,,Pseudobutyricicoccus sp016901775,Agathobacter faecis
,Faecalibacterium taiwanense,Dialister hominis,Dorea_A amylophila,Faecousia intestinalis,,Bacteroides uniformis,Oscillibacter segnis
,Eubacterium_U album,Blautia_A intestinalis,Faecalitalea cylindroides,Neoanaerotignum_A sp934256695,,CAG-170 sp900553545,Eubacterium_G sp000435815
,CAG-303 sp000437755,Bacteroides uniformis,CAG-177 sp003514385,Lachnospira sp900551945,,Odoribacter splanchnicus,Romboutsia timonensis
,Acetatifactor acetigignens,Odoribacter splanchnicus,Megamonas funiformis,Sellimonas intestinalis,,Faecalibacterium taiwanense,
,Prevotella sp900313215,Eubacterium_U album,Streptococcus salivarius_D,CAG-103 sp000432375,,Romboutsia timonensis,
,Weissella cibaria,CAG-303 sp000437755,Agathobacter faecis,Dialister hominis,,Limivivens sp905214955,
,Prevotella sp000434975,Acetatifactor acetigignens,Oscillibacter segnis,Blautia_A intestinalis,,Eubacterium_U album,
,Claveliimonas ammoniilytica,Prevotella sp900313215,Eubacterium_G sp000435815,Vescimonas sp003487665,,Acetatifactor acetigignens,
,Gemmiger formicilis,Haemophilus_D sp902482195,Romboutsia timonensis,Bacteroides uniformis,,Weissella cibaria,
,Blautia_A faecis,Prevotella sp000434975,,CAG-170 sp900553545,,Prevotella sp000434975,
,Hominicoprocola sp900317525,Claveliimonas ammoniilytica,,Odoribacter splanchnicus,,Claveliimonas ammoniilytica,
,Lawsonibacter sp900549405,Gemmiger formicilis,,Faecalibacterium taiwanense,,Gemmiger formicilis,
,Bacteroides stercoris,Hominicoprocola sp900317525,,Eubacterium_U album,,Blautia_A faecis,
,Gemmiger qucibialis,Lawsonibacter sp900549405,,CAG-303 sp000437755,,Lawsonibacter sp900549405,
,Faecalibacterium sp900539945,Bacteroides stercoris,,Acetatifactor acetigignens,,Gemmiger qucibialis,
,Limisoma sp000437795,Gemmiger qucibialis,,Prevotella sp900313215,,Faecalibacterium sp900539945,
,Alistipes communis,Limisoma sp000437795,,CAG-269 sp900551615,,Limisoma sp000437795,
,Streptococcus ilei,Alistipes communis,,Prevotella sp000434975,,Alistipes communis,
,Dorea_A amylophila,Dorea_A amylophila,,Claveliimonas ammoniilytica,,Dorea_A amylophila,
,Faecalitalea cylindroides,Faecalitalea cylindroides,,Gemmiger formicilis,,Streptococcus ilei,
,CAG-177 sp003514385,CAG-177 sp003514385,,Blautia_A faecis,,Faecalitalea cylindroides,
,Megamonas funiformis,Megamonas funiformis,,Hominicoprocola sp900317525,,CAG-177 sp003514385,
,Streptococcus salivarius_D,Phocaeicola massiliensis,,Lawsonibacter sp900549405,,Agathobacter faecis,
,Phocaeicola massiliensis,Agathobacter faecis,,Bacteroides stercoris,,Oscillibacter segnis,
,Agathobacter faecis,CAG-302 sp000431795,,Gemmiger qucibialis,,Jutongia huaianensis,
,Oscillibacter segnis,Oscillibacter segnis,,Limisoma sp000437795,,,
,Eubacterium_G sp000435815,Eubacterium_G sp000435815,,Alistipes communis,,,
,Romboutsia timonensis,Romboutsia timonensis,,Streptococcus ilei,,,
,,,,Dorea_A amylophila,,,
,,,,Faecalitalea cylindroides,,,
,,,,CAG-177 sp003514385,,,
,,,,Megamonas funiformis,,,
,,,,Streptococcus salivarius_D,,,
,,,,Agathobacter faecis,,,
,,,,CAG-302 sp000431795,,,
,,,,Oscillibacter segnis,,,
,,,,Eubacterium_G sp000435815,,,
,,,,Romboutsia timonensis,,,
