Tool,Directory,Filename,Largest,Total,N50
MetaMDBG_sr,8366,genome.nextpolish.fasta,4388842,458009396,375363
MetaMDBG_sr,4143,genome.nextpolish.fasta,3467179,356447908,117849
MyLoasm,8366,assembly_primary.fa,7442962,580408260,792384
MyLoasm,5178,assembly_primary.fa,3713031,248517089,229120
MyLoasm,8915,assembly_primary.fa,5724753,696446577,328321
MyLoasm,3068,assembly_primary.fa,2976152,243997889,38445
MyLoasm,8373,assembly_primary.fa,6301184,515627654,215017
MyLoasm,4143,assembly_primary.fa,4865907,483647666,151858
MyLoasm,2118,assembly_primary.fa,3273298,175187785,40070
MyLoasm,942,assembly_primary.fa,7975891,315092976,291655
MyLoasm,934,assembly_primary.fa,3908989,322424828,95339
MetaMDBG,3068,contigs.fasta.gz,677681,104399390,18071
MetaMDBG,5178,contigs.fasta.gz,2382900,133642088,33027
MetaMDBG,8373,contigs.fasta.gz,3354740,376314500,156247
MetaMDBG,2118,contigs.fasta.gz,1193770,68539023,20078
MetaMDBG,8366,contigs.fasta.gz,4388842,458009396,375363
MetaMDBG,8915,contigs.fasta.gz,4236891,525778140,207681
MetaMDBG,934,contigs.fasta.gz,2378991,158051288,29210
MetaMDBG,4143,contigs.fasta.gz,3467312,356260627,117781
MetaMDBG,942,contigs.fasta.gz,4987240,236797600,326314
