metaflye_2_8_3_contamination,metaflye_2_8_3_sr_contamination,metaflye_2_9_6_contamination,metaflye_2_9_6_sr_contamination,metaMDBG_contamination,metaMDBG_sr_contamination,myloasm_contamination,myloasm_sr_contamination,opera_ms_contamination,raven_contamination,raven_sr_contamination,hybridspades_contamination
0.4,1.91,4.91,1.08,0.19,8.83,3.73,5.69,3.67,,3.07,3.18
6.64,9.71,5.89,5.34,3.78,7.9,6.48,5.1,1.03,,3.9,0.0
0.74,2.57,3.8,3.26,0.97,4.89,3.52,2.83,0.27,,5.86,1.59
0.36,7.88,6.44,5.93,1.64,2.51,6.19,4.69,2.09,,8.86,2.9
2.67,0.98,9.18,7.41,5.24,7.69,4.66,3.74,0.17,,5.15,3.8
1.47,2.4,2.24,1.59,0.65,0.61,0.98,2.03,4.0,,1.2,0.34
0.06,1.41,2.54,7.4,1.31,1.77,0.69,1.9,0.75,,4.8,0.38
8.73,3.35,0.57,5.27,0.16,0.27,5.74,4.13,0.3,,7.38,0.02
3.59,1.49,3.7,0.11,1.15,6.74,5.06,0.0,0.51,,3.57,1.88
8.28,0.86,8.92,0.81,8.81,5.82,3.9,2.46,0.47,,4.51,2.78
6.69,3.87,4.67,3.9,2.81,6.6,4.64,4.87,0.96,,1.27,1.78
5.96,0.14,8.27,3.51,1.47,3.23,6.45,0.02,2.27,,0.71,1.04
0.2,5.91,6.62,6.54,6.36,2.63,4.48,0.38,1.62,,6.9,0.12
8.88,0.3,0.01,0.02,4.09,3.14,1.77,1.57,0.99,,1.02,2.46
4.84,0.49,7.14,2.18,2.35,2.7,7.68,6.79,1.47,,9.84,2.1
2.74,0.1,2.93,1.48,4.49,0.6,6.88,2.49,1.2,,4.51,2.12
5.01,7.27,5.1,0.31,7.46,0.02,5.74,0.03,5.19,,0.27,4.56
5.89,6.95,3.39,3.14,4.98,0.96,1.1,1.3,0.33,,2.49,1.67
6.84,1.04,7.68,0.92,3.53,1.98,5.74,1.59,2.15,,7.43,0.09
4.25,4.29,3.25,0.35,4.57,3.21,0.22,2.9,0.37,,2.91,0.09
0.95,7.37,8.79,0.04,2.72,0.73,8.06,3.18,0.19,,2.47,0.07
8.55,0.39,1.95,0.48,4.91,1.15,2.31,0.1,5.04,,0.48,0.84
0.33,2.9,6.24,1.49,0.78,4.37,7.36,0.28,4.28,,4.31,0.45
4.18,3.57,0.01,0.69,8.24,0.18,7.42,1.34,0.13,,,1.88
3.19,1.44,3.19,1.57,1.44,0.81,3.75,1.06,2.88,,,4.12
1.79,1.39,3.43,0.76,2.28,4.57,4.68,0.45,0.62,,,1.13
8.38,1.53,0.69,0.34,3.64,3.27,8.57,3.16,4.22,,,0.95
1.58,4.31,5.99,1.65,5.37,6.37,3.22,1.47,0.09,,,2.31
4.74,0.34,5.19,0.16,6.96,0.93,5.49,0.18,6.62,,,1.14
1.16,0.28,8.51,2.05,6.98,0.69,1.3,8.46,0.86,,,1.71
0.08,0.01,3.98,3.41,8.44,2.46,3.33,5.98,0.87,,,0.43
0.88,3.67,7.79,2.65,5.52,5.5,3.03,0.01,0.31,,,0.3
0.26,2.2,3.61,0.07,5.38,3.57,2.69,0.13,0.02,,,0.3
3.56,0.15,4.5,1.77,7.36,0.98,3.92,0.61,2.09,,,1.58
4.94,2.44,4.0,1.09,2.9,3.61,8.59,0.31,0.44,,,1.41
3.02,2.76,3.58,0.6,4.17,1.03,4.32,4.39,1.46,,,0.01
3.86,3.59,5.46,0.65,4.17,3.28,7.3,1.94,5.78,,,0.21
1.2,3.52,3.54,1.59,1.0,1.66,2.12,0.11,0.04,,,2.13
0.4,1.48,0.62,1.19,2.21,4.47,5.35,1.43,9.1,,,0.29
4.15,5.79,8.91,3.29,2.53,2.33,0.67,2.82,3.57,,,1.59
4.52,0.34,6.86,0.27,1.67,7.92,8.71,1.53,2.27,,,0.06
0.15,1.28,6.05,0.26,2.58,6.81,6.59,2.11,3.3,,,0.22
4.43,8.17,1.38,0.19,6.25,1.38,4.17,2.45,2.06,,,2.97
4.66,1.7,4.6,0.66,4.09,3.33,8.08,0.84,9.19,,,1.4
5.52,3.55,3.16,0.29,1.24,5.86,3.75,2.67,3.27,,,3.42
2.07,3.05,0.85,0.34,6.17,4.01,7.98,0.63,1.54,,,0.15
5.2,2.81,1.9,0.32,5.17,0.04,2.75,2.29,0.92,,,0.04
2.23,0.97,0.62,0.98,3.77,2.33,2.52,0.34,0.73,,,4.0
0.23,2.44,3.23,3.15,2.98,2.08,1.13,1.94,2.38,,,0.08
3.89,0.86,1.32,3.09,1.17,3.55,4.06,4.15,0.33,,,0.23
3.14,3.45,3.16,7.42,0.56,4.55,4.52,0.58,0.45,,,0.51
5.77,0.77,4.9,6.46,4.86,0.2,0.78,1.48,2.52,,,3.16
3.43,0.15,0.63,3.69,4.38,0.66,2.9,0.78,2.21,,,1.86
7.78,0.77,0.84,4.59,5.57,3.36,1.21,2.11,8.95,,,1.34
1.88,0.17,1.74,0.55,2.98,0.27,1.25,4.79,1.58,,,3.5
1.52,3.12,3.89,3.14,1.69,1.43,1.77,9.66,0.67,,,1.31
2.0,6.58,1.69,2.56,0.43,0.57,1.65,0.36,8.09,,,1.56
0.35,1.29,0.24,2.32,1.8,1.6,0.31,0.2,9.9,,,2.01
1.85,0.92,6.22,7.27,7.87,2.88,1.99,1.19,0.44,,,7.99
4.74,0.18,3.98,8.43,0.37,0.64,5.2,0.05,2.64,,,0.84
4.61,2.46,0.65,0.25,3.5,0.4,1.71,3.24,6.82,,,0.52
2.21,2.97,7.43,2.27,3.47,0.36,0.28,0.15,3.8,,,5.37
2.37,7.2,0.34,0.91,6.01,1.21,0.23,7.4,7.33,,,1.79
4.49,3.9,0.43,0.22,0.73,1.82,1.07,8.09,8.1,,,1.52
2.17,6.42,2.33,8.49,1.91,0.6,4.51,2.82,1.79,,,3.81
1.46,1.76,2.58,2.65,1.67,0.07,1.4,0.33,5.54,,,1.67
6.8,1.28,8.16,0.47,0.66,3.64,0.84,0.98,2.03,,,0.72
1.63,3.83,2.16,0.8,0.77,0.02,4.47,0.09,1.28,,,0.02
1.39,0.38,4.55,5.84,0.27,0.35,9.47,0.25,0.51,,,0.01
8.12,5.63,8.64,1.39,2.21,0.77,3.84,0.16,3.35,,,1.57
0.99,5.81,4.2,9.93,1.79,2.52,5.53,0.01,3.46,,,2.08
6.18,2.67,1.6,0.85,0.8,0.59,4.29,0.05,2.84,,,0.1
7.31,1.69,5.19,1.75,5.09,0.66,2.62,1.18,7.19,,,0.01
3.82,1.6,0.05,0.5,3.32,2.2,4.99,5.6,2.11,,,4.6
0.4,6.17,1.22,0.13,7.42,0.29,9.8,6.66,1.42,,,0.16
5.73,3.1,4.63,2.71,3.1,3.64,7.17,3.01,0.18,,,0.65
8.46,1.56,0.14,0.72,2.55,0.76,5.8,4.94,3.35,,,1.38
3.44,1.28,0.35,0.92,1.18,0.9,8.36,8.73,1.79,,,1.7
5.18,0.92,1.87,6.62,3.69,0.79,4.74,0.82,8.93,,,0.39
3.14,7.28,0.73,2.78,4.36,1.06,8.16,1.59,4.71,,,3.37
0.85,0.86,7.03,1.32,1.9,0.07,4.03,1.34,0.13,,,1.25
0.78,5.22,2.83,1.03,2.41,0.4,3.44,0.74,0.2,,,0.01
3.41,2.57,1.92,0.46,3.56,1.87,3.26,0.18,8.29,,,0.17
4.16,1.91,1.56,1.71,0.79,0.63,0.95,0.72,3.81,,,1.79
4.55,2.09,2.37,5.18,3.33,1.3,0.97,0.58,9.12,,,0.56
1.26,3.54,1.13,1.53,3.74,4.89,3.74,7.22,2.39,,,0.38
4.07,3.03,7.5,9.83,3.97,1.08,4.36,4.71,6.58,,,0.63
7.02,0.74,1.59,3.49,3.38,3.12,4.78,3.13,0.21,,,0.06
0.6,6.52,8.74,3.6,4.73,1.29,7.28,1.17,0.07,,,0.93
4.18,0.08,1.9,2.01,0.75,0.26,5.37,2.41,3.4,,,2.39
5.0,7.44,0.08,4.73,0.25,3.39,5.15,1.5,0.78,,,0.01
3.08,2.06,0.36,0.14,6.49,0.41,4.31,9.37,1.51,,,0.49
0.44,0.97,4.83,1.61,0.06,2.42,1.1,0.13,3.42,,,1.24
3.15,0.03,6.58,4.43,2.53,0.24,1.1,1.01,0.33,,,2.54
0.97,0.34,4.5,1.27,0.36,1.99,3.08,2.4,0.06,,,1.68
0.03,3.87,2.21,0.3,4.45,0.2,0.31,0.42,0.31,,,3.39
5.19,1.68,2.97,2.18,3.16,0.13,0.95,0.02,0.08,,,1.2
0.71,1.37,1.12,2.8,1.06,0.36,2.3,0.19,4.25,,,0.66
6.18,2.77,0.89,0.3,0.28,1.39,1.2,0.08,5.02,,,2.5
4.33,3.82,0.8,5.05,0.42,1.19,1.16,0.38,0.32,,,2.86
7.87,0.55,4.08,1.4,1.44,1.77,6.22,3.42,0.28,,,0.85
4.39,7.98,0.75,0.09,1.31,1.09,1.05,6.78,5.22,,,0.81
1.21,0.15,7.67,0.0,5.13,0.97,5.96,0.72,0.24,,,0.44
8.46,9.18,1.48,4.59,3.56,4.25,9.26,0.37,9.66,,,1.2
2.26,0.02,2.59,0.9,5.83,6.97,2.07,0.65,6.45,,,3.92
0.67,1.47,0.16,0.94,2.22,2.06,2.43,2.8,0.86,,,5.61
2.76,0.11,9.55,0.69,2.56,0.0,1.92,0.01,1.99,,,0.47
3.52,0.4,1.87,3.8,0.82,9.47,0.52,0.28,0.4,,,4.06
4.5,5.3,4.51,4.89,1.57,3.5,0.56,5.63,0.37,,,2.44
6.08,5.82,4.3,0.23,5.35,5.51,0.57,0.24,0.31,,,4.12
1.97,1.89,4.96,5.73,2.61,1.16,8.66,4.39,0.64,,,4.25
2.23,1.21,9.44,0.28,2.28,0.18,1.27,2.0,2.52,,,4.56
0.59,1.85,9.01,0.48,0.51,0.03,4.6,9.04,3.62,,,2.18
0.09,0.9,6.08,1.24,3.97,6.46,3.46,4.53,0.26,,,0.76
1.5,0.8,0.97,0.88,3.53,0.53,0.41,0.1,6.84,,,0.09
4.44,6.02,6.36,2.14,8.99,4.63,4.4,0.85,2.72,,,2.69
4.88,0.78,3.87,0.65,8.35,4.69,4.46,0.3,5.21,,,9.25
0.84,0.31,2.66,2.73,5.82,0.34,,7.33,0.97,,,4.66
1.75,0.17,5.19,0.55,3.28,7.77,,2.19,6.39,,,3.13
5.88,1.17,5.57,6.01,4.89,0.2,,0.24,0.43,,,4.65
8.18,5.78,6.41,1.83,2.51,5.69,,1.19,0.18,,,2.85
5.43,1.38,2.54,2.42,7.69,4.34,,6.9,0.76,,,0.48
3.38,0.39,0.32,0.44,0.61,0.38,,4.53,9.95,,,0.23
0.93,0.49,3.88,2.21,0.27,0.78,,8.96,0.29,,,2.77
4.3,8.34,0.26,1.71,2.7,4.67,,1.25,0.09,,,3.64
0.01,3.92,7.37,1.15,7.92,4.91,,3.24,2.97,,,7.07
5.97,6.33,1.02,2.4,6.81,6.36,,0.99,0.45,,,8.95
1.19,4.38,4.5,0.91,3.14,0.28,,0.56,4.69,,,0.61
0.8,8.54,5.09,9.23,2.63,2.07,,2.85,9.29,,,2.72
1.21,7.85,1.38,1.37,3.23,5.12,,3.13,3.85,,,2.72
0.14,7.87,8.1,0.26,0.02,3.47,,6.61,1.44,,,2.02
3.18,5.76,9.43,0.46,0.6,6.53,,3.77,0.39,,,0.6
4.78,0.85,0.92,0.64,0.97,2.09,,0.15,0.33,,,1.96
5.71,9.46,1.64,0.23,1.98,5.43,,7.23,2.68,,,0.28
4.21,1.86,2.22,3.75,5.5,0.29,,8.52,0.01,,,1.81
6.93,5.95,9.01,5.38,3.21,6.76,,0.48,1.37,,,1.28
0.73,4.08,0.41,0.45,6.6,2.14,,4.02,0.01,,,1.53
3.9,3.49,3.47,4.91,0.73,4.26,,3.82,2.18,,,1.48
5.15,9.55,3.1,0.85,0.18,1.3,,0.46,0.55,,,1.51
8.58,0.12,0.39,5.99,1.15,7.36,,0.42,0.96,,,5.33
2.89,0.6,0.71,1.77,0.81,3.44,,8.46,0.0,,,0.71
1.6,0.49,5.31,1.86,4.61,3.9,,0.72,0.52,,,1.96
3.28,5.5,1.95,8.22,2.33,3.64,,0.67,1.67,,,0.03
3.01,0.3,7.11,5.82,8.08,4.75,,1.08,0.26,,,0.31
,6.96,0.2,1.36,3.61,2.45,,1.19,0.22,,,2.07
,0.08,4.8,1.25,4.37,1.79,,5.8,0.55,,,4.63
,6.23,2.68,3.39,3.27,1.98,,1.23,0.17,,,1.05
,7.75,2.52,0.59,1.77,2.23,,4.67,0.41,,,0.16
,3.55,1.75,0.0,0.93,5.12,,2.92,0.01,,,2.57
,9.17,2.92,0.56,2.42,5.43,,5.02,3.33,,,5.89
,3.73,0.65,0.88,0.69,2.88,,1.57,0.11,,,3.89
,0.81,3.46,4.04,8.83,5.51,,1.86,0.13,,,0.81
,9.97,6.14,0.13,3.57,6.8,,0.3,0.08,,,1.16
,4.3,0.84,0.25,2.46,2.67,,3.57,6.07,,,4.49
,0.97,4.82,0.88,2.06,0.7,,2.18,1.75,,,3.0
,1.19,3.27,0.04,1.05,8.25,,9.16,6.43,,,9.82
,1.95,3.0,7.64,4.47,2.3,,4.87,3.63,,,0.11
,1.99,4.39,0.49,0.98,6.97,,1.74,3.55,,,0.22
,0.32,2.12,3.97,5.0,3.69,,0.84,9.15,,,3.44
,0.19,2.49,1.62,2.51,1.0,,1.97,2.44,,,1.69
,7.52,2.25,0.21,2.63,0.83,,0.09,2.05,,,2.53
,7.94,9.55,0.7,3.9,6.49,,6.39,1.16,,,0.29
,8.32,1.59,3.83,1.18,1.56,,1.93,7.78,,,1.19
,0.57,1.73,0.26,4.59,1.4,,0.26,5.43,,,0.35
,0.14,1.02,7.49,7.33,2.0,,0.23,1.71,,,1.01
,0.3,7.43,1.6,4.63,9.06,,0.37,1.31,,,0.08
,4.22,3.11,6.12,0.94,1.09,,0.32,0.55,,,1.59
,3.2,5.47,0.18,8.18,6.3,,0.33,2.57,,,5.28
,1.33,4.9,0.58,4.22,6.85,,0.48,1.78,,,1.77
,2.94,3.19,0.13,4.05,4.5,,0.0,2.44,,,6.24
,2.45,3.26,1.48,6.4,0.19,,1.25,0.2,,,0.28
,1.22,1.52,0.14,3.48,1.12,,3.47,1.74,,,0.02
,0.37,5.02,2.81,7.94,3.78,,5.58,0.17,,,9.11
,0.71,0.31,0.68,3.95,8.81,,3.33,1.06,,,0.65
,0.04,5.25,0.39,7.78,1.64,,2.08,0.86,,,0.31
,3.02,2.79,7.73,5.12,2.81,,5.89,0.56,,,0.3
,0.28,1.19,3.34,3.66,0.65,,2.63,1.89,,,0.58
,1.58,5.57,0.93,0.58,1.31,,1.26,0.17,,,1.83
,1.54,1.87,0.92,4.87,0.16,,0.14,0.18,,,2.1
,6.16,7.94,4.21,7.85,1.15,,0.2,0.71,,,0.65
,3.74,4.94,2.22,8.69,6.96,,5.4,1.88,,,0.03
,5.93,1.23,7.06,6.44,1.47,,0.24,2.2,,,0.17
,0.64,6.25,3.0,4.65,7.91,,3.34,2.68,,,1.66
,2.33,7.25,0.26,4.56,4.09,,5.82,3.4,,,0.32
,3.28,5.6,8.14,2.29,1.64,,3.82,0.02,,,0.03
,8.22,4.21,4.38,6.96,0.98,,3.45,1.54,,,1.61
,5.08,5.36,0.8,1.58,4.41,,1.36,0.76,,,0.47
,4.37,7.77,3.94,5.74,8.42,,3.68,0.74,,,4.67
,2.63,2.8,0.05,1.19,5.39,,1.64,0.23,,,0.02
,0.37,5.67,0.05,3.1,4.57,,0.5,4.03,,,3.22
,0.51,5.27,8.03,4.65,3.53,,2.42,0.27,,,1.72
,4.28,1.0,3.75,2.43,2.05,,3.19,0.05,,,1.21
,5.83,2.91,1.64,3.84,9.01,,3.56,1.29,,,0.33
,9.58,6.7,3.81,3.23,2.25,,2.74,0.69,,,1.08
,5.86,7.71,2.54,2.92,5.81,,8.92,8.87,,,1.32
,1.26,7.47,6.79,1.45,4.97,,3.04,0.05,,,5.92
,2.14,4.78,0.27,8.9,1.8,,0.05,0.02,,,0.51
,4.18,2.28,2.86,4.65,6.98,,1.86,0.29,,,0.53
,,0.43,2.55,3.78,5.38,,4.69,9.23,,,0.12
,,1.6,0.43,3.23,0.78,,4.47,1.94,,,0.75
,,1.03,7.11,1.26,6.88,,3.01,0.55,,,0.66
,,1.2,8.35,0.91,2.28,,2.54,2.09,,,3.75
,,4.86,3.42,3.09,1.44,,2.35,0.96,,,2.02
,,3.31,6.88,2.39,6.5,,7.65,0.65,,,2.73
,,9.17,6.06,7.17,4.73,,2.89,3.59,,,5.06
,,5.0,0.3,3.09,3.46,,0.07,0.4,,,3.03
,,7.23,5.83,5.5,3.27,,0.73,0.53,,,1.15
,,9.16,5.22,3.09,,,3.28,1.22,,,0.07
,,4.51,0.06,1.39,,,2.76,1.26,,,1.5
,,5.27,0.18,,,,0.54,5.65,,,2.92
,,7.44,8.29,,,,0.08,2.93,,,4.01
,,5.08,0.59,,,,0.18,3.04,,,6.36
,,1.74,6.65,,,,6.98,2.52,,,0.8
,,1.64,5.17,,,,0.59,1.31,,,2.85
,,0.84,0.42,,,,1.27,0.26,,,1.51
,,6.44,2.37,,,,1.76,3.58,,,1.97
,,2.58,7.27,,,,4.68,2.04,,,2.07
,,4.69,1.84,,,,1.06,0.74,,,4.04
,,0.59,3.23,,,,6.99,0.27,,,0.13
,,3.2,0.43,,,,3.47,1.13,,,0.39
,,6.99,6.07,,,,4.66,0.01,,,3.77
,,3.38,0.08,,,,6.78,0.9,,,7.19
,,2.44,0.25,,,,9.47,1.06,,,2.07
,,6.34,0.15,,,,2.31,1.4,,,3.3
,,,0.78,,,,2.64,3.29,,,2.63
,,,0.26,,,,1.2,0.3,,,5.45
,,,2.31,,,,6.23,1.45,,,1.26
,,,0.27,,,,2.93,0.12,,,0.38
,,,0.5,,,,0.79,0.1,,,1.93
,,,1.37,,,,0.11,0.86,,,2.52
,,,0.65,,,,6.74,0.21,,,2.38
,,,1.0,,,,8.56,0.53,,,0.96
,,,7.55,,,,4.01,2.93,,,0.75
,,,1.67,,,,0.35,2.07,,,1.26
,,,1.51,,,,0.45,1.82,,,1.74
,,,0.97,,,,0.16,3.19,,,1.52
,,,0.46,,,,0.26,2.87,,,1.57
,,,0.01,,,,5.55,1.14,,,0.15
,,,0.59,,,,2.03,2.89,,,1.16
,,,0.56,,,,0.67,0.32,,,9.09
,,,3.99,,,,0.25,0.46,,,0.81
,,,2.63,,,,1.53,0.24,,,1.14
,,,7.03,,,,1.4,0.72,,,0.55
,,,8.72,,,,1.01,0.01,,,3.33
,,,4.72,,,,4.72,2.49,,,2.97
,,,0.1,,,,1.34,0.86,,,0.13
,,,1.26,,,,0.01,0.49,,,0.34
,,,2.5,,,,0.28,0.01,,,8.66
,,,1.61,,,,0.97,0.0,,,1.57
,,,5.27,,,,0.25,0.37,,,7.2
,,,0.03,,,,0.65,0.28,,,1.32
,,,0.25,,,,0.25,0.7,,,5.9
,,,0.26,,,,6.97,2.59,,,0.27
,,,1.37,,,,0.78,0.24,,,5.44
,,,0.6,,,,0.32,1.18,,,0.45
,,,0.63,,,,1.07,4.56,,,1.2
,,,1.39,,,,0.02,1.56,,,0.99
,,,0.07,,,,0.1,4.76,,,0.78
,,,7.05,,,,8.14,3.76,,,0.62
,,,5.42,,,,9.73,3.62,,,3.98
,,,5.93,,,,0.67,7.21,,,0.04
,,,2.33,,,,0.2,9.34,,,3.06
,,,7.9,,,,2.08,0.07,,,0.08
,,,0.29,,,,2.67,2.4,,,4.05
,,,7.46,,,,6.71,0.34,,,0.1
,,,2.38,,,,8.57,5.89,,,0.2
,,,3.35,,,,0.61,2.78,,,2.49
,,,2.18,,,,7.74,0.34,,,6.76
,,,7.27,,,,4.56,0.79,,,6.1
,,,4.7,,,,1.89,4.3,,,1.95
,,,1.35,,,,2.02,2.74,,,1.73
,,,5.0,,,,6.03,0.47,,,0.1
,,,4.59,,,,1.35,3.29,,,0.67
,,,4.46,,,,3.41,0.76,,,0.13
,,,1.62,,,,1.4,2.65,,,0.02
,,,1.49,,,,0.16,0.66,,,0.34
,,,0.16,,,,3.89,7.14,,,0.33
,,,0.3,,,,2.14,1.22,,,0.03
,,,1.34,,,,5.89,1.7,,,2.17
,,,,,,,1.26,1.93,,,0.5
,,,,,,,6.5,2.98,,,1.46
,,,,,,,8.06,1.33,,,2.47
,,,,,,,0.46,2.22,,,2.27
,,,,,,,,0.01,,,5.74
,,,,,,,,0.87,,,0.25
,,,,,,,,5.92,,,0.01
,,,,,,,,0.06,,,1.02
,,,,,,,,7.48,,,1.57
,,,,,,,,0.84,,,0.17
,,,,,,,,0.41,,,0.75
,,,,,,,,1.68,,,8.31
,,,,,,,,9.41,,,1.12
,,,,,,,,1.46,,,0.68
,,,,,,,,0.84,,,0.23
,,,,,,,,3.42,,,7.16
,,,,,,,,3.21,,,3.45
,,,,,,,,0.73,,,1.12
,,,,,,,,5.51,,,3.64
,,,,,,,,0.5,,,4.25
,,,,,,,,1.78,,,2.3
,,,,,,,,1.08,,,1.98
,,,,,,,,0.26,,,1.44
,,,,,,,,5.03,,,1.0
,,,,,,,,0.51,,,3.02
,,,,,,,,0.31,,,0.42
,,,,,,,,8.87,,,0.0
,,,,,,,,0.03,,,0.32
,,,,,,,,0.11,,,1.26
,,,,,,,,0.64,,,1.59
,,,,,,,,1.25,,,0.63
,,,,,,,,2.78,,,2.29
,,,,,,,,0.33,,,1.09
,,,,,,,,0.45,,,3.12
,,,,,,,,0.1,,,2.56
,,,,,,,,1.46,,,0.97
,,,,,,,,4.21,,,1.32
,,,,,,,,4.03,,,2.42
,,,,,,,,0.54,,,1.95
,,,,,,,,3.86,,,1.35
,,,,,,,,0.88,,,0.43
,,,,,,,,0.2,,,1.12
,,,,,,,,2.52,,,3.34
,,,,,,,,0.05,,,4.1
,,,,,,,,5.56,,,6.72
,,,,,,,,4.3,,,1.97
,,,,,,,,0.27,,,1.64
,,,,,,,,4.88,,,2.47
,,,,,,,,8.03,,,7.61
,,,,,,,,4.56,,,0.59
,,,,,,,,0.02,,,5.49
,,,,,,,,,,,3.92
,,,,,,,,,,,7.04
,,,,,,,,,,,3.14
,,,,,,,,,,,2.83
,,,,,,,,,,,3.32
,,,,,,,,,,,0.46
,,,,,,,,,,,2.41
,,,,,,,,,,,2.95
,,,,,,,,,,,0.14
,,,,,,,,,,,3.58
,,,,,,,,,,,0.23
,,,,,,,,,,,4.18
,,,,,,,,,,,1.42
,,,,,,,,,,,0.89
,,,,,,,,,,,3.25
,,,,,,,,,,,7.59
,,,,,,,,,,,0.48
,,,,,,,,,,,2.87
,,,,,,,,,,,1.45
,,,,,,,,,,,0.47
,,,,,,,,,,,0.3
,,,,,,,,,,,0.23
,,,,,,,,,,,2.23
,,,,,,,,,,,2.81
,,,,,,,,,,,1.54
,,,,,,,,,,,0.17
,,,,,,,,,,,1.27
,,,,,,,,,,,2.61
,,,,,,,,,,,2.8
,,,,,,,,,,,0.1
,,,,,,,,,,,2.42
,,,,,,,,,,,8.9
,,,,,,,,,,,2.87
,,,,,,,,,,,0.14
,,,,,,,,,,,0.12
,,,,,,,,,,,0.38
,,,,,,,,,,,8.92
,,,,,,,,,,,1.14
,,,,,,,,,,,4.29
,,,,,,,,,,,2.12
,,,,,,,,,,,0.69
,,,,,,,,,,,2.67
,,,,,,,,,,,1.02
,,,,,,,,,,,0.43
,,,,,,,,,,,0.28
,,,,,,,,,,,0.02
,,,,,,,,,,,0.37
,,,,,,,,,,,0.11
,,,,,,,,,,,1.06
,,,,,,,,,,,1.52
,,,,,,,,,,,6.23
,,,,,,,,,,,0.27
,,,,,,,,,,,0.1
,,,,,,,,,,,3.39
,,,,,,,,,,,1.6
,,,,,,,,,,,0.12
,,,,,,,,,,,0.12
,,,,,,,,,,,0.22
,,,,,,,,,,,0.78
,,,,,,,,,,,3.51
,,,,,,,,,,,2.42
,,,,,,,,,,,0.87
,,,,,,,,,,,0.44
,,,,,,,,,,,0.51
,,,,,,,,,,,1.09
,,,,,,,,,,,0.39
,,,,,,,,,,,5.52
,,,,,,,,,,,0.02
,,,,,,,,,,,0.22
,,,,,,,,,,,4.55
,,,,,,,,,,,0.0
,,,,,,,,,,,1.76
,,,,,,,,,,,0.02
,,,,,,,,,,,4.03
,,,,,,,,,,,0.92
,,,,,,,,,,,0.54
,,,,,,,,,,,0.6
,,,,,,,,,,,0.76
,,,,,,,,,,,1.85
,,,,,,,,,,,1.14
,,,,,,,,,,,0.82
,,,,,,,,,,,0.34
,,,,,,,,,,,3.77
,,,,,,,,,,,0.19
,,,,,,,,,,,1.51
,,,,,,,,,,,1.64
,,,,,,,,,,,0.3
,,,,,,,,,,,0.28
,,,,,,,,,,,7.62
,,,,,,,,,,,0.16
