metaflye_2_8_3_contamination,metaflye_2_8_3_sr_contamination,metaflye_2_9_6_contamination,metaflye_2_9_6_sr_contamination,metaMDBG_contamination,metaMDBG_sr_contamination,myloasm_contamination,myloasm_sr_contamination,opera_ms_contamination,raven_contamination,raven_sr_contamination,hybridspades_contamination
6.45,0.03,2.07,1.02,1.29,6.87,9.07,6.36,1.62,1.58,2.94,3.03
2.65,0.57,8.88,6.7,3.66,6.49,3.28,2.2,1.01,7.98,5.29,4.39
4.73,0.42,3.62,4.64,4.18,0.09,0.09,0.66,6.56,9.44,1.76,1.41
5.57,0.15,0.79,0.78,3.28,3.12,0.64,3.67,0.58,9.19,2.3,2.95
8.69,2.02,2.29,8.91,3.26,6.27,4.81,5.15,0.48,3.99,5.14,2.57
0.43,1.0,8.16,1.71,1.95,1.52,5.78,6.43,0.92,2.53,3.31,1.66
3.01,6.04,3.82,6.79,0.07,1.79,5.17,2.9,0.43,5.42,6.68,1.75
3.36,1.58,0.07,3.46,6.95,1.0,4.64,0.35,0.32,2.1,6.36,0.56
9.37,3.71,2.94,0.5,1.6,0.99,5.66,1.97,0.11,0.82,4.07,1.02
5.48,2.67,3.56,3.64,0.42,0.55,1.9,7.9,2.19,2.94,0.9,2.99
3.69,5.82,0.97,0.97,0.93,3.47,2.46,6.63,0.57,0.11,2.09,0.84
4.5,0.24,0.13,1.15,4.48,3.63,5.73,4.39,1.59,3.61,0.88,0.06
3.67,6.13,2.12,2.3,5.19,0.11,0.63,1.81,3.28,7.77,0.54,4.81
0.15,2.47,4.26,2.19,4.91,3.75,6.36,6.39,3.26,6.03,0.22,0.37
2.44,2.95,3.17,0.21,3.72,1.43,3.23,0.36,0.07,5.11,2.05,0.42
0.14,3.69,3.01,2.33,0.23,0.78,4.12,1.31,0.12,5.31,2.19,0.71
3.37,1.9,5.6,3.8,4.22,1.24,4.18,9.8,0.33,3.51,8.03,0.86
2.55,0.14,6.26,5.59,0.24,0.37,7.41,4.84,0.01,7.86,0.08,4.61
0.23,0.66,5.26,5.79,2.09,4.7,4.35,3.84,1.4,7.23,4.34,0.36
