sample,without_pretreatment_shannon,with_pretreatment_shannon
942,4.297632529,5.120134611
4143,3.430881199,5.338203373
8366,4.842117858,5.303961835
8373,4.824122812,5.574334426
8915,5.086915012,5.635037795
